Year,Deaths,Population,Rate
2010,16242,307568593,5.280773255
2011,16230,310929825,5.219827336
2012,16679,313204900,5.3252679
2013,16121,315993715,5.101683747
2014,15872,318301008,4.986474941
2015,17793,320635163,5.549297786
2016,19362,322941311,5.995516628
2017,19510,324985539,6.003344044
2018,18830,326687501,5.7639181
2019,19141,328239523,5.831412325
