County,County Code,Year,Intent,Deaths,Population,State,Rate
"Nash County, NC",37127,2019,Homicide,13,94298,NC,13.78608242
"Lexington County, SC",45063,2009,Homicide,15,258983,SC,5.791885954
"Lexington County, SC",45063,2010,Homicide,11,262391,SC,4.192216959
"Lexington County, SC",45063,2011,Homicide,13,267129,SC,4.866562597
"Lexington County, SC",45063,2012,Homicide,16,270406,SC,5.917028468
"Lexington County, SC",45063,2013,Homicide,14,273752,SC,5.114117888
"Lexington County, SC",45063,2014,Homicide,15,277888,SC,5.39785813
"Lexington County, SC",45063,2015,Homicide,20,281833,SC,7.09640106
"Lexington County, SC",45063,2016,Homicide,12,286196,SC,4.192930719
"Lexington County, SC",45063,2017,Homicide,24,290642,SC,8.257581492
"Lexington County, SC",45063,2018,Homicide,27,295032,SC,9.151549662
"Lexington County, SC",45063,2019,Homicide,18,298750,SC,6.025104603
"Ector County, TX",48135,2009,Homicide,11,136930,TX,8.033301687
"Ector County, TX",48135,2014,Homicide,15,153904,TX,9.746335378
"Ector County, TX",48135,2015,Homicide,10,159436,TX,6.272109185
"Ector County, TX",48135,2017,Homicide,12,157087,TX,7.639078982
"Ector County, TX",48135,2019,Homicide,17,166223,TX,10.22722487
"Rock Island County, IL",17161,2016,Homicide,10,144784,IL,6.906840535
"Rock Island County, IL",17161,2017,Homicide,20,144808,IL,13.81139164
"Rock Island County, IL",17161,2019,Homicide,14,141879,IL,9.867563205
"Muskegon County, MI",26121,2013,Homicide,13,171008,MI,7.601983533
"Muskegon County, MI",26121,2014,Homicide,12,172344,MI,6.962818549
"Muskegon County, MI",26121,2016,Homicide,11,173408,MI,6.343421295
"Muskegon County, MI",26121,2017,Homicide,13,173693,MI,7.484469725
"Muskegon County, MI",26121,2018,Homicide,17,173588,MI,9.793303685
"Muskegon County, MI",26121,2019,Homicide,16,173566,MI,9.218395308
"New Hanover County, NC",37129,2013,Homicide,12,213267,NC,5.626749567
"New Hanover County, NC",37129,2014,Homicide,19,216298,NC,8.784177385
"New Hanover County, NC",37129,2015,Homicide,14,220358,NC,6.353297815
"New Hanover County, NC",37129,2016,Homicide,13,223483,NC,5.816997266
"New Hanover County, NC",37129,2017,Homicide,20,227198,NC,8.802894392
"New Hanover County, NC",37129,2018,Homicide,11,232274,NC,4.735786184
"New Hanover County, NC",37129,2019,Homicide,12,234473,NC,5.117860052
"Madison County, TN",47113,2009,Homicide,15,97727,TN,15.34888004
"Madison County, TN",47113,2011,Homicide,10,98255,TN,10.1775991
"Madison County, TN",47113,2012,Homicide,12,98656,TN,12.16347713
"Madison County, TN",47113,2013,Homicide,14,98733,TN,14.17965624
"Madison County, TN",47113,2014,Homicide,18,98178,TN,18.33404632
"Madison County, TN",47113,2015,Homicide,11,97610,TN,11.26933716
"Madison County, TN",47113,2018,Homicide,13,97605,TN,13.31898981
"Madison County, TN",47113,2019,Homicide,17,97984,TN,17.34977139
"Sebastian County, AR",5131,2017,Homicide,11,128107,AR,8.586572162
"Cobb County, GA",13067,2009,Homicide,28,684776,GA,4.08892835
"Cobb County, GA",13067,2010,Homicide,24,688078,GA,3.487976654
"Cobb County, GA",13067,2011,Homicide,30,697553,GA,4.300748474
"Cobb County, GA",13067,2012,Homicide,24,707442,GA,3.392504262
"Cobb County, GA",13067,2013,Homicide,30,717190,GA,4.182991955
"Cobb County, GA",13067,2014,Homicide,29,730981,GA,3.967271379
"Cobb County, GA",13067,2015,Homicide,33,741334,GA,4.451434846
"Cobb County, GA",13067,2016,Homicide,31,748150,GA,4.1435541
